name,lat,lon,depth,magnitude
flegrei_2024_04_14_07_57_58,40.824667,14.140167,920.0,2.5
flegrei_2024_04_14_08_01_43,40.829,14.138167,2350.0,3.0
flegrei_2024_04_14_08_08_31,40.8285,14.137833,1710.0,2.4
flegrei_2024_04_16_03_38_05,40.828667,14.151667,2820.0,2.5
flegrei_2024_04_26_01_47_42,40.832833,14.147833,2530.0,2.6
flegrei_2024_04_27_03_44_56,40.8085,14.094,2780.0,3.9
flegrei_2024_05_07_01_47_54,40.826,14.145,1760.0,3.2
flegrei_2024_05_07_03_53_22,40.827,14.144167,1350.0,2.9
flegrei_2024_05_07_17_37_25,40.827833,14.1415,2000.0,2.8
flegrei_2024_05_08_05_29_10,40.8325,14.13,2950.0,2.6
flegrei_2024_05_13_01_30_20,40.832333,14.092,2210.0,2.9
flegrei_2024_05_13_20_49_58,40.8315,14.140167,1650.0,2.3
flegrei_2024_05_18_04_30_55,40.835333,14.143333,2800.0,2.8
flegrei_2024_05_20_17_51_14,40.838667,14.128833,2570.0,3.5
flegrei_2024_05_20_18_10_03,40.827333,14.1375,2570.0,4.4
flegrei_2024_05_20_19_46_14,40.829667,14.136167,2800.0,3.9
flegrei_2024_05_20_19_55_37,40.822833,14.125667,2210.0,3.1
flegrei_2024_05_20_21_00_55,40.822667,14.124333,2730.0,3.6
flegrei_2024_05_22_06_28_00,40.8085,14.107667,2550.0,3.6
flegrei_2024_05_25_01_03_23,40.8295,14.140167,2410.0,2.7
flegrei_2024_06_08_01_52_04,40.829833,14.144,2440.0,3.5
flegrei_2024_06_08_02_09_03,40.830667,14.149,2270.0,3.7
flegrei_2024_06_18_01_58_24,40.832,14.084333,2720.0,3.4
flegrei_2024_07_02_13_10_14,40.815,14.1555,2740.0,2.9
flegrei_2024_07_03_00_18_44,40.820333,14.153167,2570.0,3.2
flegrei_2024_07_11_09_59_20,40.835667,14.144833,2770.0,2.6
flegrei_2024_07_18_06_08_37,40.831,14.150667,2460.0,3.6
flegrei_2024_07_26_11_46_21,40.805667,14.098333,4150.0,4.0
flegrei_2024_08_18_00_29_21,40.8185,14.140833,400.0,2.8
flegrei_2024_08_30_19_23_15,40.828167,14.1445,2690.0,3.7
flegrei_2024_10_12_04_54_23,40.808167,14.152167,3040.0,2.5
flegrei_2024_10_13_06_07_53,40.836167,14.147333,2390.0,2.6
flegrei_2024_12_06_04_33_59,40.822667,14.133833,520.0,3.4
flegrei_2025_01_17_16_53_50,40.828167,14.135,1720.0,3.3
flegrei_2025_01_18_16_58_43,40.818667,14.145167,250.0,2.8
flegrei_2025_02_05_07_32_17,40.830333,14.148667,2520.0,2.6
flegrei_2025_02_05_07_52_02,40.829333,14.151667,2670.0,3.1
flegrei_2025_02_05_10_00_32,40.8285,14.148833,2580.0,2.7
flegrei_2025_02_12_22_27_14,40.831333,14.149,2100.0,2.5
flegrei_2025_02_13_15_34_22,40.830667,14.148833,2050.0,2.5
flegrei_2025_02_13_22_18_28,40.831333,14.146167,2130.0,2.6
flegrei_2025_02_16_14_30_02,40.809667,14.105667,2520.0,3.9
flegrei_2025_02_16_16_30_41,40.832833,14.130833,2520.0,2.7
flegrei_2025_02_16_22_45_12,40.8325,14.147667,2450.0,3.0
flegrei_2025_02_16_22_46_47,40.827167,14.141167,2310.0,3.0
flegrei_2025_02_16_23_19_52,40.828833,14.148333,1590.0,3.9
flegrei_2025_02_17_07_12_10,40.830167,14.142333,2510.0,3.2
flegrei_2025_02_17_16_53_24,40.827833,14.1435,2290.0,2.7
flegrei_2025_02_17_17_15_54,40.829667,14.1475,2640.0,2.6
flegrei_2025_02_17_17_55_35,40.826333,14.141833,1770.0,2.6
flegrei_2025_02_17_20_23_44,40.828,14.142833,1410.0,2.8
flegrei_2025_02_18_02_22_19,40.828833,14.1415,2320.0,3.1
