name,lat,lon,depth,mag
14725,40.8293,14.1507,-2490.0,3.57
14733,40.8298,14.1517,-2190.0,1.08
14735,40.828701,14.15,-1930.0,1.21
14748,40.833698,14.1178,-2910.0,1.08
14790,40.824299,14.1365,-1410.0,2.33
14793,40.824001,14.1375,-1270.0,1.58
14816,40.8237,14.1362,-1170.0,1.78
14823,40.833199,14.146,-1890.0,1.33
14826,40.819199,14.1455,-600.0,1.21
14827,40.820801,14.149,-500.0,1.27
14828,40.819698,14.149,-500.0,1.38
14834,40.821701,14.13,-2130.0,1.33
14869,40.833302,14.1203,-2370.0,1.78
14885,40.828201,14.1422,-2380.0,2.94
14970,40.831501,14.1402,-2470.0,1.27
14992,40.808701,14.1083,-3740.0,1.01
15005,40.826801,14.1325,-2120.0,1.21
15018,40.797699,14.1142,-2990.0,1.15
15019,40.807499,14.1123,-2640.0,1.01
15039,40.826,14.1438,-800.0,1.08
15173,40.838699,14.1408,-1220.0,1.15
15813,40.814301,14.0978,-3280.0,2.03
15838,40.823799,14.1338,-1190.0,1.01
15841,40.824001,14.134,-1270.0,1.08
15873,40.831799,14.1213,-2410.0,1.48
15949,40.826302,14.1287,-1810.0,1.21
15886,40.825699,14.14,-870.0,1.43
16035,40.8293,14.1343,-2260.0,1.38
16185,40.828701,14.1327,-2360.0,1.33
16351,40.827301,14.1402,-1800.0,2.51
16359,40.841999,14.1427,-1340.0,1.53
16361,40.842999,14.1428,-1330.0,1.08
16366,40.820301,14.1558,-2700.0,1.21
16416,40.824799,14.1448,-1800.0,1.01
16443,40.821499,14.1382,-1230.0,1.01
16509,40.824001,14.1373,-1660.0,1.08
16512,40.8223,14.1355,-880.0,1.01
16583,40.833,14.1447,-1680.0,1.27
16705,40.826801,14.1542,-1880.0,1.21
16748,40.8265,14.1408,-780.0,1.21
16760,40.828499,14.1402,-1210.0,1.15
16935,40.8255,14.1405,-860.0,1.43
17084,40.825199,14.1383,-840.0,1.01
17089,40.830502,14.1248,-1930.0,1.01
17111,40.833,14.1215,-2710.0,2.28
17124,40.810501,14.1077,-3630.0,1.89
17138,40.819,14.1168,-1340.0,1.15
17337,40.831501,14.1253,-2350.0,1.01
17149,40.832699,14.1247,-1710.0,1.38
17156,40.823299,14.1397,-1850.0,1.96
17166,40.801998,14.1155,-2890.0,1.58
17197,40.824799,14.1418,-940.0,1.66
17198,40.825699,14.1402,-870.0,1.08
17199,40.8283,14.1402,-2220.0,1.82
17205,40.826302,14.1402,-1590.0,1.01
17434,40.809799,14.1172,-1740.0,2.67
17436,40.832699,14.1597,-1690.0,1.58
17553,40.822201,14.132,-1280.0,1.21
17732,40.828999,14.149,-2380.0,2.53
17733,40.8283,14.1507,-2350.0,2.15
17736,40.830002,14.1562,-2310.0,1.96
17737,40.8297,14.1507,-1830.0,1.71
17747,40.830299,14.1442,-1810.0,1.38
17746,40.831299,14.1433,-1800.0,1.62
17756,40.828701,14.1227,-2080.0,1.78
17759,40.832699,14.1238,-2580.0,1.78
17762,40.8283,14.1423,-1290.0,1.01
17888,40.8335,14.1373,-2050.0,1.15
22553,40.824699,14.125,-1410.0,1.01
22628,40.823502,14.1355,-1870.0,1.21
22590,40.831799,14.1157,-1970.0,1.27
22677,40.801201,14.144,-2970.0,1.08
22699,40.834301,14.118,-2970.0,1.62
22720,40.818001,14.143,-330.0,2.03
22725,40.819698,14.1455,-370.0,2.12
22734,40.819698,14.1462,-340.0,2.26
22730,40.819,14.145,-430.0,2.67
22731,40.819302,14.1473,-290.0,2.45
22737,40.819801,14.1438,-440.0,1.21
22736,40.819698,14.1455,-350.0,1.01
22969,40.824501,14.1488,-900.0,1.38
22745,40.825199,14.149,-910.0,1.21
22785,40.828499,14.1402,-2600.0,1.38
22784,40.830299,14.144,-1880.0,1.08
22807,40.82,14.1457,-510.0,1.62
22900,40.825802,14.1388,-1920.0,1.99
23054,40.888302,14.1308,-2110.0,1.38
23056,40.889301,14.1207,-1650.0,2.38
23066,40.827999,14.1392,-2750.0,1.99
23104,40.827,14.1365,-1570.0,1.08
23113,40.831501,14.1358,-2320.0,1.89
23134,40.808498,14.1295,-2880.0,1.33
23194,40.827202,14.1338,-2540.0,2.59
23220,40.8172,14.1577,-2670.0,1.33
23259,40.824501,14.135,-2100.0,1.21
23318,40.803001,14.1125,-2510.0,1.01
23320,40.807301,14.1128,-2480.0,1.21
23325,40.8283,14.1415,-1420.0,1.01
23337,40.802502,14.1117,-4240.0,1.15
23338,40.8032,14.1108,-4460.0,2.97
23399,40.813499,14.1563,-2860.0,1.27
